Date,Open,High,Low,Close,Adj Close,Volume
2023-01-20,30.610001,30.770000,30.110001,30.570000,30.335623,63500
2023-01-23,30.719999,31.230000,30.370001,30.650000,30.415010,68100
2023-01-24,31.730000,31.730000,30.709999,30.850000,30.613478,98700
2023-01-25,30.700001,30.850000,30.340000,30.850000,30.613478,47700
2023-01-26,31.000000,31.530001,30.700001,31.490000,31.248569,48000
2023-01-27,31.410000,31.670000,31.190001,31.290001,31.050104,39800
2023-01-30,31.139999,31.350000,30.680000,31.100000,30.861561,63400
2023-01-31,31.219999,32.459999,31.219999,32.419998,32.171440,89300
2023-02-01,32.490002,32.869999,31.850000,32.410000,32.161518,76300
2023-02-02,32.779999,33.090000,32.369999,32.700001,32.449295,63600
2023-02-03,32.340000,33.110001,32.099998,32.660000,32.521984,106400
2023-02-06,32.669998,32.980000,32.169998,32.490002,32.352703,124000
2023-02-07,32.389999,32.389999,31.709999,32.200001,32.063927,69800
2023-02-08,32.130001,32.130001,31.270000,31.400000,31.267307,67800
2023-02-09,31.680000,31.809999,30.650000,30.680000,30.550352,73800
2023-02-10,30.760000,31.709999,30.620001,31.620001,31.486380,74800
2023-02-13,31.660000,32.529999,31.549999,32.500000,32.362659,82800
2023-02-14,32.380001,32.980000,32.310001,32.730000,32.591686,78000
2023-02-15,32.770000,34.320000,32.770000,34.290001,34.145096,120900
2023-02-16,33.849998,34.180000,33.459999,33.849998,33.706955,92200
2023-02-17,33.980000,34.230000,33.389999,33.480000,33.338516,90600
2023-02-21,33.060001,33.709999,32.509998,32.689999,32.551857,131300
2023-02-22,32.939999,33.230000,32.029999,33.009998,32.870502,85600
2023-02-23,33.009998,35.990002,32.799999,35.459999,35.310150,258800
2023-02-24,35.330002,35.330002,33.439999,34.020000,33.876236,166900
2023-02-27,34.400002,34.759998,33.799999,34.020000,33.876236,101300
2023-02-28,33.980000,34.340000,33.740002,33.919998,33.776657,114700
2023-03-01,33.919998,34.509998,32.910000,33.959999,33.816490,124000
2023-03-02,33.720001,34.130001,33.470001,33.880001,33.736828,91700
2023-03-03,34.000000,34.139999,33.630001,33.980000,33.836407,60200
2023-03-06,33.980000,34.029999,33.070000,33.349998,33.209064,104300
2023-03-07,33.220001,33.849998,33.110001,33.770000,33.627293,89900
2023-03-08,33.740002,33.869999,32.599998,33.000000,32.860546,69500
2023-03-09,32.959999,33.270000,32.340000,32.560001,32.422409,66300
2023-03-10,32.279999,32.380001,31.200001,32.119999,31.984264,168000
2023-03-13,31.730000,32.070000,31.030001,31.400000,31.267307,103400
2023-03-14,32.180000,32.759998,31.559999,31.889999,31.755238,79600
2023-03-15,31.299999,31.840000,31.020000,31.820000,31.685534,119200
2023-03-16,31.389999,32.560001,31.030001,32.209999,32.073883,78600
2023-03-17,32.130001,32.320000,31.340000,31.650000,31.516251,140200
2023-03-20,31.840000,32.200001,31.340000,31.580000,31.446548,84700
2023-03-21,31.990000,32.590000,31.799999,31.930000,31.795069,72600
2023-03-22,31.850000,32.160000,31.400000,31.450001,31.317099,79100
2023-03-23,31.620001,31.860001,30.370001,30.610001,30.480648,88200
2023-03-24,30.400000,30.870001,29.900000,30.850000,30.719633,113100
2023-03-27,31.150000,31.270000,30.650000,31.100000,30.968576,131800
2023-03-28,31.080000,31.400000,30.400000,30.650000,30.520477,241700
2023-03-29,30.940001,31.080000,29.719999,29.730000,29.604364,129700
2023-03-30,30.000000,30.299999,29.340000,29.660000,29.534660,138000
2023-03-31,29.940001,30.540001,29.840000,30.520000,30.391027,130400
2023-04-03,30.480000,30.889999,29.900000,30.139999,30.012632,104400
2023-04-04,30.240000,30.240000,28.780001,29.090000,28.967070,84900
2023-04-05,29.090000,29.299999,28.290001,28.440001,28.319817,110500
2023-04-06,28.420000,28.680000,27.900000,28.590000,28.469183,128100
2023-04-10,28.570000,29.049999,28.510000,28.730000,28.608591,68900
2023-04-11,28.820000,29.320000,28.650000,28.920000,28.797789,57900
2023-04-12,29.209999,29.209999,28.620001,28.660000,28.538887,54200
2023-04-13,28.730000,28.990000,28.590000,28.910000,28.787830,57900
2023-04-14,28.950001,29.200001,28.120001,28.180000,28.060915,60900
2023-04-17,28.250000,28.510000,28.080000,28.440001,28.319817,102800
2023-04-18,28.410000,28.969999,28.410000,28.620001,28.499058,71700
2023-04-19,28.530001,28.570000,28.160000,28.290001,28.170452,48000
2023-04-20,28.180000,28.590000,28.180000,28.440001,28.319817,41400
2023-04-21,28.459999,29.049999,28.459999,28.889999,28.767914,89700
2023-04-24,28.900000,29.049999,28.660000,28.750000,28.628508,32000
2023-04-25,28.629999,28.629999,28.049999,28.110001,27.991213,40700
2023-04-26,28.040001,28.230000,27.510000,27.620001,27.503283,42300
2023-04-27,27.700001,28.309999,27.700001,28.170000,28.050959,50600
2023-04-28,28.209999,28.770000,28.129999,28.709999,28.588675,58300
2023-05-01,28.799999,29.740000,28.799999,29.690001,29.564535,59000
2023-05-02,29.389999,29.389999,28.469999,28.959999,28.837618,132900
2023-05-03,29.000000,29.360001,27.830000,28.090000,27.971296,138700
2023-05-04,29.170000,29.170000,26.120001,26.740000,26.627001,187900
2023-05-05,26.930000,27.709999,26.590000,27.590000,27.590000,146900
2023-05-08,27.500000,27.840000,27.000000,27.040001,27.040001,41000
2023-05-09,27.020000,27.520000,26.879999,27.500000,27.500000,49200
2023-05-10,27.780001,28.400000,27.389999,28.260000,28.260000,85600
2023-05-11,27.940001,28.260000,27.610001,28.000000,28.000000,46200
2023-05-12,28.059999,28.590000,27.920000,28.150000,28.150000,62100
2023-05-15,28.200001,28.410000,28.020000,28.150000,28.150000,94500
2023-05-16,28.100000,28.100000,27.230000,27.230000,27.230000,100300
2023-05-17,27.330000,27.430000,26.629999,27.219999,27.219999,103800
2023-05-18,27.190001,27.850000,27.190001,27.820000,27.820000,57000
2023-05-19,28.040001,28.309999,27.270000,27.299999,27.299999,45900
2023-05-22,27.430000,27.780001,27.290001,27.639999,27.639999,41100
2023-05-23,27.559999,27.990000,27.370001,27.850000,27.850000,72400
2023-05-24,27.780001,27.780001,27.330000,27.620001,27.620001,69100
2023-05-25,27.490000,27.639999,26.420000,26.490000,26.490000,44400
2023-05-26,26.570000,27.020000,26.520000,26.820000,26.820000,49200
2023-05-30,26.750000,26.930000,26.530001,26.540001,26.540001,51300
2023-05-31,26.549999,26.549999,25.860001,26.160000,26.160000,102600
2023-06-01,26.260000,26.270000,25.440001,25.490000,25.490000,56500
2023-06-02,25.790001,26.820000,25.709999,26.790001,26.790001,89700
2023-06-05,26.540001,26.549999,25.950001,26.120001,26.120001,51000
2023-06-06,26.100000,27.420000,26.100000,27.240000,27.240000,66200
2023-06-07,27.299999,28.440001,27.299999,28.370001,28.370001,83500
2023-06-08,28.309999,28.309999,27.570000,27.879999,27.879999,54600
2023-06-09,27.850000,27.850000,27.309999,27.379999,27.379999,39400
2023-06-12,27.389999,28.040001,27.309999,27.870001,27.870001,45000
2023-06-13,27.920000,28.139999,27.190001,27.469999,27.469999,108200
2023-06-14,27.580000,28.100000,27.200001,27.260000,27.260000,77300
2023-06-15,27.100000,27.650000,26.750000,27.650000,27.650000,69700
2023-06-16,27.750000,28.209999,27.340000,27.660000,27.660000,129400
2023-06-20,27.490000,27.670000,27.219999,27.490000,27.490000,39100
2023-06-21,27.400000,27.549999,27.139999,27.480000,27.480000,37200
2023-06-22,27.290001,27.440001,26.940001,27.440001,27.440001,44500
2023-06-23,27.120001,27.510000,26.760000,27.129999,27.129999,192400
2023-06-26,26.959999,27.889999,26.959999,27.400000,27.400000,89100
